Numero	Nimi	Valmistaja	Pullokoko	Hinta	Litrahinta	Uutuus	Hinnastojärjestyskoodi	Tyyppi	Alatyyppi	Erityisryhmä	Oluttyyppi	Valmistusmaa	Alue	Ala-alue	Vuosikerta	Etikettimerkintöjä	Huomautus	Rypäleet	Luonnehdinta	Pakkaustyyppi	Suljentatyyppi	Alkoholi	Hapot g/l	Sokeri g/l	Kantavierrep	Väri EBC	Katkerot EBU	Energia kcal/100 ml	Valikoima
000991	Meukow V.S. 		0,70	37,70	53,86		432	konjakit								A.C. Meukow			Vaaleanruskea, keskitäyteläinen, nuorehko, terävä, makean hedelmäinen, mausteinen	pullo	luonnonkorkki	40,00		13				230	vakiovalikoima
000993	Meukow V.S. 		0,05	4,37	87,40		432	konjakit								Meukow			Vaaleanruskea, keskitäyteläinen, nuorehko, terävä, makean hedelmäinen, mausteinen	pullo	metallinen kierrekapseli	40,00		13				230	vakiovalikoima
000992	Meukow V.S. 		0,35	21,30	60,86		432	konjakit								Meukow			Vaaleanruskea, keskitäyteläinen, nuorehko, terävä, makean hedelmäinen, mausteinen	pullo	luonnonkorkki	40,00		13				230	vakiovalikoima
109906	Meukow V.S.  muovipullo		0,50	27,50	54,60		432	konjakit								A.C. Meukow			Vaaleanruskea, keskitäyteläinen, nuorehko, terävä, makean hedelmäinen, mausteinen	muovipullo	metallinen kierrekapseli	40,00		13				230	vakiovalikoima
000941	Meukow V.S.O.P Superior 		0,70	49,90	71,29		432	konjakit								Meukow, AC Cognac			Meripihkanruskea, keskitäyteläinen, melko iäkäs, lämmin, makean hedelmäinen, kevyen kaakaoinen, hennon yrttinen	pullo	luonnonkorkki	40,00		13				230	vakiovalikoima
108627	Meukow X.O. Cognac 		0,70	98,90	141,29		432	konjakit								Meukow			Kuparinruskea, täyteläinen, iäkäs, lämmin, kypsän hedelmäinen, hennon aprikoosinen, mausteinen, tamminen, elegantti	pullo	luonnonkorkki	40,00		12				230	vakiovalikoima
001002	Monnet Le Club V.S. 		0,35	18,86	53,60		432	konjakit								Monnet			Kullanruskea, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, kaakaoinen, vaniljainen, hennon yrttinen	pullo	metallinen kierrekapseli	40,00		7				230	vakiovalikoima
001004	Monnet Le Club V.S. 		0,20	12,58	62,40		432	konjakit								Monnet			Kullanruskea, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, kaakaoinen, vaniljainen, hennon yrttinen	pullo	metallinen kierrekapseli	40,00		7				230	vakiovalikoima
110114	Monnet V.S.O.P. 		0,35	26,40	75,14		432	konjakit								Monnet			Meripihkanruskea, keskitäyteläinen, melko iäkäs, lämmin, kypsän hedelmäinen, mausteinen, tamminen	pullo	metallinen kierrekapseli	40,00		7				230	vakiovalikoima
110126	Monnet V.S.O.P.  muovipullo		0,50	32,90	65,40		432	konjakit								Monnet			Meripihkanruskea, keskitäyteläinen, melko iäkäs, lämmin, kypsän hedelmäinen, mausteinen, tamminen	muovipullo	metallinen kierrekapseli	40,00		7				230	vakiovalikoima
001001	Monnet VS 		0,70	34,70	49,43		432	konjakit								J.G. Monnet			Kullanruskea, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, kaakaoinen, vaniljainen, hennon yrttinen	pullo	luonnonkorkki	40,00		7				230	vakiovalikoima
001011	Monnet VSOP 		0,70	45,90	65,43		432	konjakit								J.G. Monnet, AC Cognac			Meripihkanruskea, keskitäyteläinen, melko iäkäs, lämmin, kypsän hedelmäinen, mausteinen, tamminen	pullo	luonnonkorkki	40,00		7				230	vakiovalikoima
000855	Monnet XO Prestige 		0,70	94,90	135,57		432	konjakit								Monnet			Kuparinruskea, täyteläinen, iäkäs, terävä, hedelmäinen, mausteinen, tamminen, vivahteikas	pullo	luonnonkorkki	40,00		7				230	vakiovalikoima
163514	Monopol V.S. Cognac 		0,35	15,48	43,94		432	konjakit								Altia			Kullanruskea, keskitäyteläinen, nuorehko, terävä, hedelmäinen, hennon suklainen, tamminen	pullo	metallinen kierrekapseli	40,00		6				230	vakiovalikoima
106284	Monopol V.S.O.P Cognac 		0,35	22,90	65,14		432	konjakit								Altia			Meripihkankeltainen, keskitäyteläinen, melko iäkäs, lämmin, hedelmäinen, mausteinen, kevyen tamminen	pullo	metallinen kierrekapseli	40,00		10				230	vakiovalikoima
163517	Monopol VS 		0,70	29,40	41,86		432	konjakit								Altia			Kullanruskea, keskitäyteläinen, nuorehko, terävä, hedelmäinen, hennon suklainen, tamminen	pullo	metallinen kierrekapseli	40,00		6				230	vakiovalikoima
106287	Monopol VSOP 		0,70	40,80	58,14		432	konjakit								Altia, AC Cognac			Meripihkankeltainen, keskitäyteläinen, melko iäkäs, lämmin, hedelmäinen, mausteinen, kevyen tamminen	pullo	metallinen kierrekapseli	40,00		10				230	vakiovalikoima
107347	Monopol X.O. 		0,70	52,90	75,43		432	konjakit								Peyrat, AC Cognac			Meripihkanruskea, täyteläinen, melko iäkäs, terävä, hedelmäinen, mausteinen, tamminen, roteva	pullo	luonnonkorkki	40,00		11				230	vakiovalikoima
000976	Planat VSOP Prestige 		0,70	42,90	61,14		432	konjakit								A. Planat, AC Cognac			Kullanruskea, keskitäyteläinen, melko iäkäs, terävä, makean hedelmäinen, mausteinen	pullo	muovisuljin	40,00		10				230	vakiovalikoima
127206	Prince Hubert de Polignac V.S.O.P 		0,50	25,40	50,40		432	konjakit								Prince Hubert de Polignac, AC Cognac			Kuparinruskea, täyteläinen, melko iäkäs, lämmin, hedelmäinen, kevyen pähkinäinen, hennon kaakaoinen	pullo	metallinen kierrekapseli	40,00		10				230	vakiovalikoima
156644	Privaatti Cognac V.S.O.P.  muovipullo		0,35	22,00	62,57		432	konjakit								Pramia			Kellanruskea, keskitäyteläinen, melko iäkäs, terävä, hedelmäinen, tamminen	muovipullo	muovisuljin	40,00		11				230	vakiovalikoima
000793	Ranin Cognac V.S. 		0,50	24,50	48,80		432	konjakit								A. E. Dor			Kellanruskea, kevyt, nuorehko, lämmin, hedelmäinen, kevyen pähkinäinen, hennon yrttinen	pullo	luonnonkorkki	40,00		12				230	vakiovalikoima
149663	Ranin Cognac V.S.  muovipullo		0,20	11,79	58,45		432	konjakit								A.E.Dor, AC Cognac			Kellanruskea, kevyt, nuorehko, lämmin, hedelmäinen, kevyen pähkinäinen, hennon yrttinen	muovipullo	metallinen kierrekapseli	40,00		12				230	vakiovalikoima
149676	Ranin Cognac V.S.  muovipullo		0,50	24,50	48,60		432	konjakit								A.E.Dor, AC Cognac			Kellanruskea, kevyt, nuorehko, lämmin, hedelmäinen, kevyen pähkinäinen, hennon yrttinen	muovipullo	metallinen kierrekapseli	40,00		12				230	vakiovalikoima
000913	Ranin Cognac V.S.O.P. 		0,50	30,50	60,80		432	konjakit								A. E. Dor, AC Cognac			Vaaleanruskea, keskitäyteläinen, melko iäkäs, terävä, hennon aprikoosinen, mausteinen, tamminen	pullo	luonnonkorkki	40,00		12				230	vakiovalikoima
000914	Ranin Cognac V.S.O.P. 		1,50	90,90	60,60		432	konjakit								A. E. Dor			Vaaleanruskea, keskitäyteläinen, melko iäkäs, terävä, hennon aprikoosinen, mausteinen, tamminen	pullo	luonnonkorkki	40,00		12				230	vakiovalikoima
000797	Ranin Cognac XO 		0,70	80,90	115,57		432	konjakit								A. E. Dor, AC Cognac			Kullanruskea, keskitäyteläinen, iäkäs, lämmin, hedelmäinen, kaakaoinen, pähkinäinen, tyylikäs	pullo	luonnonkorkki	40,00						230	vakiovalikoima
189194	Raymond Ragnaud Millésime 1994 		0,35	50,10	143,14		432	konjakit								Raymond Ragnaud, AC Grande Champagne			Kullankeltainen, keskitäyteläinen, iäkäs, aprikoosinen, hunajainen, hennon pähkinäinen, kevyen parfyyminen, elegantti	pullo	luonnonkorkki	41,00		8				230	vakiovalikoima
105967	Rémy Martin Fine Champagne XO Excellence 		0,70	149,90	214,00		432	konjakit								Rémy Martin, AC Fine Champagne Cognac			Mahonginruskea, täyteläinen, iäkäs, lämmin, kypsän hedelmäinen, suklainen, mausteisen tamminen, tyylikäs	pullo	luonnonkorkki	40,00		8				230	vakiovalikoima
001031	Rémy Martin V.S.O.P. 		0,70	55,90	79,71		432	konjakit								Rémy Martin, AC Fine Champagne			Punaruskea, keskitäyteläinen, melko iäkäs, terävä, hedelmäinen, yrttinen, hennon vaniljainen, mausteinen, runsas	pullo	luonnonkorkki	40,00		5				230	vakiovalikoima
110314	Rémy Martin V.S.O.P. 		0,35	30,90	88,00		432	konjakit								Rémy Martin, AC Fine Champagne			Punaruskea, keskitäyteläinen, melko iäkäs, terävä, hedelmäinen, yrttinen, hennon vaniljainen, mausteinen, runsas	pullo	luonnonkorkki	40,00		5				230	vakiovalikoima
109243	Renault Bleu Nuit 		0,20	13,49	66,95		432	konjakit								Renault Bisquit			Meripihkankeltainen, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, hennon suklainen, kevyen tamminen	pullo	metallinen kierrekapseli	40,00		11				230	vakiovalikoima
000924	Renault Bleu Nuit V.S 		0,70	38,50	54,86		432	konjakit								Altia			Meripihkankeltainen, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, hennon suklainen, kevyen tamminen	pullo	luonnonkorkki	40,00		11				230	vakiovalikoima
001041	Renault Carte Noire Extra 		0,70	61,90	88,29		432	konjakit								Renault, AC Cognac			Meripihkanruskea, täyteläinen, iäkäs, lämmin, hedelmäinen, hennon vaniljainen, tamminen	pullo	luonnonkorkki	40,00		8				230	vakiovalikoima
001042	Renault Carte Noire Extra 		0,35	32,50	92,57		432	konjakit								Renault			Meripihkanruskea, täyteläinen, iäkäs, lämmin, hedelmäinen, hennon vaniljainen, tamminen	pullo	luonnonkorkki	40,00		8				230	vakiovalikoima
000881	Reviseur VS 		0,70	32,60	46,43		432	konjakit								Société du Maine Drilhon, AC Petite Champagne			Meripihkankeltainen, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, hennon kaakaoinen, kevyen mineraalinen	pullo	luonnonkorkki	40,00		11				230	vakiovalikoima
001013	Reviseur VSOP 		0,70	42,80	61,00		432	konjakit								Société du Maine Drilhon, AC Petite Champagne			Meripihkanruskea, keskitäyteläinen, melko iäkäs, lämmin, kuivahedelmäinen, mausteinen, tamminen	pullo	luonnonkorkki	40,00		12				230	vakiovalikoima
